HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N7.HOG0000705	OG0000026	n2						CNIO.Cnig_chr_IV.g12782, CNIO.Cnig_chr_IV.g12791, CNIO.Cnig_chr_X.g23292							
N7.HOG0000706	OG0000026	n172						CNIO.Cnig_chr_X.g25982							
N7.HOG0000707	OG0000028	n23				CELE.CELE_T13F2.11			CREM.GCK72_019226						
N7.HOG0000708	OG0000028	n25				CELE.CELE_Y59E9AR.1, CELE.CELE_Y59E9AR.7, CELE.CELE_ZK354.10, CELE.CELE_ZK546.3									
N7.HOG0000709	OG0000028	n61				CELE.CELE_C33F10.9, CELE.CELE_C34F11.4, CELE.CELE_F36H12.7, CELE.CELE_F58A6.8, CELE.CELE_K05F1.2, CELE.CELE_K07F5.1, CELE.CELE_R05F9.13, CELE.CELE_R13H9.4, CELE.CELE_ZK1248.6, CELE.CELE_ZK354.1, CELE.CELE_ZK354.11, CELE.CELE_ZK354.4, CELE.CELE_ZK354.5			CREM.GCK72_002756, CREM.GCK72_010628, CREM.GCK72_010747, CREM.GCK72_010757, CREM.GCK72_019093, CREM.GCK72_019219, CREM.GCK72_019223						
N7.HOG0000710	OG0000028	n69			CBRI.L5515_006923, CBRI.L5515_008894, CBRI.L5515_014334, CBRI.L5515_014335, CBRI.L5515_014398, CBRI.L5515_014403, CBRI.L5515_014417, CBRI.L5515_014428, CBRI.L5515_014429	CELE.CELE_C04G2.4, CELE.CELE_K07F5.2, CELE.CELE_K07F5.3, CELE.CELE_ZK1251.6		CNIO.Cnig_chr_II.g5893, CNIO.Cnig_chr_II.g5965, CNIO.Cnig_chr_II.g5971, CNIO.Cnig_chr_II.g6002, CNIO.Cnig_chr_II.g6003, CNIO.Cnig_chr_IV.g12095, CNIO.Cnig_chr_V.g18047, CNIO.Cnig_chr_V.g18934, CNIO.Cnig_chr_V.g20473, CNIO.Cnig_chr_V.g20474	CREM.GCK72_001227, CREM.GCK72_003712, CREM.GCK72_003715, CREM.GCK72_005227, CREM.GCK72_005469, CREM.GCK72_005661, CREM.GCK72_005882, CREM.GCK72_005912, CREM.GCK72_005925, CREM.GCK72_006088, CREM.GCK72_006220, CREM.GCK72_015178, CREM.GCK72_017313, CREM.GCK72_018201, CREM.GCK72_018224						
N7.HOG0000711	OG0000028	n76			CBRI.L5515_004667, CBRI.L5515_008895		CINO.Sp34_20191100, CINO.Sp34_20196620, CINO.Sp34_20197200, CINO.Sp34_20214500, CINO.Sp34_20214700, CINO.Sp34_20215120	CNIO.Cnig_chr_II.g6551	CREM.GCK72_003685, CREM.GCK72_006202, CREM.GCK72_006419, CREM.GCK72_006521, CREM.GCK72_006531, CREM.GCK72_017341, CREM.GCK72_017437						
N7.HOG0000712	OG0000028	n88			CBRI.L5515_007636, CBRI.L5515_014716		CINO.Sp34_20197800		CREM.GCK72_012886						
N7.HOG0000713	OG0000028	n95			CBRI.L5515_004670, CBRI.L5515_010081, CBRI.L5515_014752, CBRI.L5515_014831, CBRI.L5515_014844, CBRI.L5515_014863, CBRI.L5515_014877, CBRI.L5515_014883, CBRI.L5515_014887		CINO.Sp34_10281600, CINO.Sp34_20081800, CINO.Sp34_20083100, CINO.Sp34_20087400, CINO.Sp34_20128600, CINO.Sp34_20128900, CINO.Sp34_20129300, CINO.Sp34_20190700, CINO.Sp34_20190800, CINO.Sp34_20190900, CINO.Sp34_20191500, CINO.Sp34_20194100, CINO.Sp34_20196100, CINO.Sp34_20196400, CINO.Sp34_20196610, CINO.Sp34_20197700, CINO.Sp34_20207700, CINO.Sp34_20322000, CINO.Sp34_30022700, CINO.Sp34_50348300	CNIO.Cnig_chr_II.g6237, CNIO.Cnig_chr_II.g6354, CNIO.Cnig_chr_II.g6389, CNIO.Cnig_chr_II.g6485, CNIO.Cnig_chr_II.g6498, CNIO.Cnig_chr_II.g6522, CNIO.Cnig_chr_II.g6545, CNIO.Cnig_chr_II.g6555, CNIO.Cnig_chr_III.g10568, CNIO.Cnig_chr_III.g10698							
N7.HOG0000714	OG0000028	n97				CELE.CELE_F09C12.7, CELE.CELE_F58A6.9, CELE.CELE_ZK1248.4			CREM.GCK72_016642, CREM.GCK72_016643, CREM.GCK72_016749						
N7.HOG0000715	OG0000028	n105				CELE.CELE_F26G1.7			CREM.GCK72_017318						
N7.HOG0000716	OG0000028	n106				CELE.CELE_F32B6.6, CELE.CELE_T13F2.10			CREM.GCK72_018965						
N7.HOG0000717	OG0000028	n108				CELE.CELE_C09B9.6, CELE.CELE_R13H9.2	CINO.Sp34_30024400								
N7.HOG0000718	OG0000029	n8				CELE.CELE_R07C3.1, CELE.CELE_R07C3.12			CREM.GCK72_019864, CREM.GCK72_019865, CREM.GCK72_019866						
N7.HOG0000719	OG0000029	n13			CBRI.L5515_008198	CELE.CELE_B0365.6	CINO.Sp34_50272600, CINO.Sp34_50273000, CINO.Sp34_50273100, CINO.Sp34_50286000	CNIO.Cnig_chr_V.g19626	CREM.GCK72_017708						
N7.HOG0000720	OG0000029	n20				CELE.CELE_F16H6.1		CNIO.Cnig_chr_IV.g15445							
N7.HOG0000721	OG0000029	n21			CBRI.L5515_008197	CELE.CELE_B0365.5, CELE.CELE_F07C4.2, CELE.CELE_F07C4.9, CELE.CELE_T09F5.9		CNIO.Cnig_chr_V.g19625	CREM.GCK72_017707						
N7.HOG0000722	OG0000029	n62				CELE.CELE_R07C3.16									
N7.HOG0000723	OG0000029	n80				CELE.CELE_F49A5.11, CELE.CELE_T25E12.10, CELE.CELE_T25E12.7			CREM.GCK72_019824, CREM.GCK72_019826						
N7.HOG0000724	OG0000029	n84			CBRI.L5515_013657, CBRI.L5515_013658, CBRI.L5515_013659	CELE.CELE_F49A5.12, CELE.CELE_F49A5.2, CELE.CELE_F49A5.3, CELE.CELE_F49A5.4, CELE.CELE_F49A5.5, CELE.CELE_F49A5.7, CELE.CELE_F49A5.9, CELE.CELE_T20B3.12, CELE.CELE_T20B3.15, CELE.CELE_T20B3.16, CELE.CELE_T20B3.8, CELE.CELE_T25E12.8, CELE.CELE_T25E12.9, CELE.CELE_Y102A5B.1, CELE.CELE_Y102A5B.2, CELE.CELE_Y102A5B.3		CNIO.Cnig_chr_II.g5072, CNIO.Cnig_chr_II.g5073, CNIO.Cnig_chr_II.g5074, CNIO.Cnig_chr_II.g5075, CNIO.Cnig_chr_IV.g16167, CNIO.Cnig_chr_V.g21049	CREM.GCK72_003837, CREM.GCK72_003838, CREM.GCK72_019762, CREM.GCK72_021660, CREM.GCK72_021672						
N7.HOG0000725	OG0000029	n113				CELE.CELE_T20B3.13			CREM.GCK72_019823, CREM.GCK72_021659, CREM.GCK72_021701						
N7.HOG0000726	OG0000029	n117			CBRI.L5515_003051			CNIO.Cnig_chr_III.g8521, CNIO.Cnig_chr_III.g8522	CREM.GCK72_021581, CREM.GCK72_021582, CREM.GCK72_021583						
N7.HOG0000727	OG0000029	n125				CELE.CELE_F36H5.6, CELE.CELE_T07H3.10, CELE.CELE_T07H3.4, CELE.CELE_T07H3.5									
N7.HOG0000728	OG0000029	n129				CELE.CELE_C03H5.1, CELE.CELE_C54C8.7, CELE.CELE_E03H4.10, CELE.CELE_E03H4.9, CELE.CELE_F56H6.8, CELE.CELE_H16D19.1, CELE.CELE_H16D19.2, CELE.CELE_T07D10.4, CELE.CELE_T07D10.5, CELE.CELE_T27F6.2									
N7.HOG0000729	OG0000029	n139			CBRI.L5515_015613	CELE.CELE_Y38E10A.4, CELE.CELE_Y70C5C.2		CNIO.Cnig_chr_II.g7577	CREM.GCK72_007174						
N7.HOG0000730	OG0000029	n143			CBRI.L5515_015606, CBRI.L5515_015607, CBRI.L5515_015608	CELE.CELE_B0454.7, CELE.CELE_C35D10.14, CELE.CELE_C35D10.15, CELE.CELE_C41H7.7, CELE.CELE_F10G2.3, CELE.CELE_Y38E10A.5		CNIO.Cnig_chr_II.g7580	CREM.GCK72_007166, CREM.GCK72_007168, CREM.GCK72_007169, CREM.GCK72_007170, CREM.GCK72_007171, CREM.GCK72_007172, CREM.GCK72_007173						
N7.HOG0000731	OG0000029	n160			CBRI.L5515_013289	CELE.CELE_T05A7.2	CINO.Sp34_20226520	CNIO.Cnig_chr_II.g4517	CREM.GCK72_004422						
N7.HOG0000732	OG0000029	n164			CBRI.L5515_006681, CBRI.L5515_006683, CBRI.L5515_009309, CBRI.L5515_009310, CBRI.L5515_009311, CBRI.L5515_009641, CBRI.L5515_015843, CBRI.L5515_015844, CBRI.L5515_015845, CBRI.L5515_015846, CBRI.L5515_015847, CBRI.L5515_015848, CBRI.L5515_015849, CBRI.L5515_015850, CBRI.L5515_015851		CINO.Sp34_20020010, CINO.Sp34_30018210, CINO.Sp34_30018310	CNIO.Cnig_chr_II.g8106, CNIO.Cnig_chr_II.g8107, CNIO.Cnig_chr_II.g8108, CNIO.Cnig_chr_II.g8109, CNIO.Cnig_chr_II.g8110, CNIO.Cnig_chr_II.g8111, CNIO.Cnig_chr_II.g8112, CNIO.Cnig_chr_II.g8113, CNIO.Cnig_chr_II.g8114, CNIO.Cnig_chr_II.g8115, CNIO.Cnig_chr_II.g8116, CNIO.Cnig_chr_V.g17082, CNIO.Cnig_chr_V.g17735, CNIO.Cnig_chr_V.g17737, CNIO.Cnig_chr_V.g18372, CNIO.Cnig_chr_V.g18373, CNIO.Cnig_chr_V.g21621, CNIO.Cnig_chr_V.g21622	CREM.GCK72_007115, CREM.GCK72_007302, CREM.GCK72_007621, CREM.GCK72_007622, CREM.GCK72_007623, CREM.GCK72_007625, CREM.GCK72_007757, CREM.GCK72_007770, CREM.GCK72_007771, CREM.GCK72_020433, CREM.GCK72_020524, CREM.GCK72_020525, CREM.GCK72_020730						
N7.HOG0000733	OG0000029	n212			CBRI.L5515_013291, CBRI.L5515_013292		CINO.Sp34_20226800	CNIO.Cnig_chr_II.g4519, CNIO.Cnig_chr_II.g4520, CNIO.Cnig_chr_II.g4521	CREM.GCK72_004424, CREM.GCK72_004425, CREM.GCK72_004426, CREM.GCK72_004427, CREM.GCK72_004428, CREM.GCK72_004429						
N7.HOG0000734	OG0000030	n6			CBRI.L5515_007132, CBRI.L5515_007133	CELE.CELE_Y38C9B.2		CNIO.Cni-srt-52	CREM.GCK72_019138						
N7.HOG0000735	OG0000030	n11			CBRI.L5515_007479	CELE.CELE_F18E2.4		CNIO.Cni-srt-43	CREM.GCK72_018401						
N7.HOG0000736	OG0000030	n15			CBRI.L5515_010232	CELE.CELE_Y41E3.14	CINO.Sp34_40278400	CNIO.Cnig_chr_IV.g12362	CREM.GCK72_012830						
N7.HOG0000737	OG0000030	n21			CBRI.L5515_010233, CBRI.L5515_010235	CELE.CELE_M199.1	CINO.Sp34_40278310, CINO.Sp34_40278330	CNIO.Cnig_chr_IV.g12363, CNIO.Cnig_chr_IV.g12369	CREM.GCK72_012831						
N7.HOG0000738	OG0000030	n29			CBRI.L5515_010231	CELE.CELE_Y41E3.17		CNIO.Cni-srt-50	CREM.GCK72_012829						
N7.HOG0000739	OG0000030	n33			CBRI.L5515_010227	CELE.CELE_Y41E3.12	CINO.Sp34_40279110	CNIO.Cnig_chr_IV.g12346	CREM.GCK72_012802						
N7.HOG0000740	OG0000030	n37			CBRI.L5515_010207, CBRI.L5515_010236	CELE.CELE_M162.14, CELE.CELE_M162.3, CELE.CELE_M162.4, CELE.CELE_Y57G11C.26, CELE.CELE_Y57G11C.27, CELE.CELE_Y57G11C.28, CELE.CELE_Y57G11C.30	CINO.Sp34_40278100	CNIO.Cnig_chr_IV.g12265, CNIO.Cnig_chr_IV.g12370	CREM.GCK72_012741, CREM.GCK72_012742, CREM.GCK72_012744, CREM.GCK72_012833						
N7.HOG0000741	OG0000030	n52				CELE.CELE_Y41E3.15		CNIO.Cnig_chr_IV.g12359	CREM.GCK72_012810, CREM.GCK72_012821						
N7.HOG0000742	OG0000030	n55			CBRI.L5515_005874	CELE.CELE_C24B9.2		CNIO.Cnig_chr_V.g16596	CREM.GCK72_018798						
N7.HOG0000743	OG0000030	n60			CBRI.L5515_007031	CELE.CELE_F36H9.6, CELE.CELE_Y46H3A.1	CINO.Sp34_50066300, CINO.Sp34_50066510, CINO.Sp34_50066700	CNIO.Cnig_chr_V.g18191	CREM.GCK72_019245						
N7.HOG0000744	OG0000030	n67			CBRI.L5515_007443	CELE.CELE_Y97E10B.10	CINO.Sp34_50183210	CNIO.Cni-srt-53	CREM.GCK72_018443						
N7.HOG0000745	OG0000030	n74			CBRI.L5515_006599	CELE.CELE_F47D2.12, CELE.CELE_F47D2.2, CELE.CELE_F47D2.4, CELE.CELE_F47D2.5, CELE.CELE_F47D2.6, CELE.CELE_F47D2.8		CNIO.Cnig_chr_V.g17589	CREM.GCK72_020145						
N7.HOG0000746	OG0000030	n82				CELE.CELE_W04D2.2, CELE.CELE_Y5H2B.7		CNIO.Cnig_chr_V.g18846	CREM.GCK72_018315						
N7.HOG0000747	OG0000030	n86			CBRI.L5515_002372, CBRI.L5515_016597			CNIO.Cnig_chr_I.g3152, CNIO.Cnig_chr_X.g22807	CREM.GCK72_019666, CREM.GCK72_023432, CREM.GCK72_023433, CREM.GCK72_023434						
N7.HOG0000748	OG0000030	n95			CBRI.L5515_007260	CELE.CELE_C24B9.5, CELE.CELE_R08F11.2		CNIO.Cnig_chr_V.g18494	CREM.GCK72_019088						
N7.HOG0000749	OG0000030	n100			CBRI.L5515_007259	CELE.CELE_C24B9.4		CNIO.Cnig_chr_V.g18493	CREM.GCK72_019087						
N7.HOG0000750	OG0000030	n103			CBRI.L5515_007261	CELE.CELE_C24B9.6			CREM.GCK72_019089						
N7.HOG0000751	OG0000030	n106			CBRI.L5515_009933, CBRI.L5515_009934	CELE.CELE_M02H5.2		CNIO.Cnig_chr_V.g22048							
N7.HOG0000752	OG0000030	n109			CBRI.L5515_006784, CBRI.L5515_007033	CELE.CELE_C53A5.10, CELE.CELE_F40G12.15, CELE.CELE_F40G12.8, CELE.CELE_F54E2.6		CNIO.Cnig_chr_V.g17866, CNIO.Cnig_chr_V.g18193, CNIO.Cnig_chr_V.g18253	CREM.GCK72_008681, CREM.GCK72_021825						
N7.HOG0000753	OG0000030	n138							CREM.GCK72_020043						
N7.HOG0000754	OG0000031	n3						CNIO.nigoni.pc_2016.07.11_019.g28266							
N7.HOG0000755	OG0000031	n51			CBRI.L5515_009893	CELE.CELE_F53F8.2, CELE.CELE_M01B2.7, CELE.CELE_M01B2.9, CELE.CELE_T26E4.14, CELE.CELE_T26E4.15, CELE.CELE_ZK105.4	CINO.Sp34_50401120	CNIO.Cnig_chr_V.g22001	CREM.GCK72_021925						
N7.HOG0000756	OG0000031	n64			CBRI.L5515_008127	CELE.CELE_C51E3.1		CNIO.Cni-srsx-26	CREM.GCK72_017615						
N7.HOG0000757	OG0000031	n68			CBRI.L5515_008126	CELE.CELE_C51E3.2	CINO.Sp34_50280930		CREM.GCK72_017614						
N7.HOG0000758	OG0000031	n73			CBRI.L5515_008124	CELE.CELE_C51E3.4		CNIO.Cnig_chr_V.g19544	CREM.GCK72_017612						
N7.HOG0000759	OG0000031	n76			CBRI.L5515_008125	CELE.CELE_C51E3.3		CNIO.Cnig_chr_V.g19545	CREM.GCK72_017613						
N7.HOG0000760	OG0000031	n79			CBRI.L5515_008123	CELE.CELE_C51E3.5	CINO.Sp34_50281600	CNIO.Cni-srsx-30	CREM.GCK72_017611						
N7.HOG0000761	OG0000031	n86			CBRI.L5515_007852	CELE.CELE_F07B10.6		CNIO.Cni-srsx-31	CREM.GCK72_016678						
N7.HOG0000762	OG0000031	n90			CBRI.L5515_008531	CELE.CELE_F20A1.3	CINO.Sp34_50225610	CNIO.Cni-srsx-32	CREM.GCK72_017309						
N7.HOG0000763	OG0000031	n94			CBRI.L5515_007853	CELE.CELE_T19B10.10	CINO.Sp34_50057720, CINO.Sp34_50058110	CNIO.Cnig_chr_V.g19231, CNIO.Cnig_chr_V.g20704, CNIO.Cnig_chr_V.g20715	CREM.GCK72_016677, CREM.GCK72_020717						
N7.HOG0000764	OG0000031	n102			CBRI.L5515_008576				CREM.GCK72_017229						
N7.HOG0000765	OG0000032	n6			CBRI.L5515_007942	CELE.CELE_F58B4.1	CINO.Sp34_50303310	CNIO.Cni-nas-31	CREM.GCK72_016561						
N7.HOG0000766	OG0000032	n87			CBRI.L5515_006972	CELE.CELE_T02B11.7	CINO.Sp34_50002900	CNIO.Cni-nas-32	CREM.GCK72_019128						
N7.HOG0000767	OG0000032	n140			CBRI.L5515_014066	CELE.CELE_F46C5.3	CINO.Sp34_20309100	CNIO.Cni-nas-25	CREM.GCK72_005609						
N7.HOG0000768	OG0000032	n145				CELE.CELE_F54B8.13		CNIO.nigoni.pc_2016.07.11_007.g26765, CNIO.nigoni.pc_2016.07.11_007.g26768	CREM.GCK72_019669						
N7.HOG0000769	OG0000032	n149			CBRI.L5515_009446	CELE.CELE_F20G2.4, CELE.CELE_K03B8.5		CNIO.Cnig_chr_V.g21332							
N7.HOG0000770	OG0000032	n153			CBRI.L5515_007820	CELE.CELE_K03B8.2	CINO.Sp34_50322100	CNIO.Cnig_chr_V.g19180	CREM.GCK72_016755						
N7.HOG0000771	OG0000032	n157				CELE.CELE_K03B8.1, CELE.CELE_K03B8.3			CREM.GCK72_016736, CREM.GCK72_016756, CREM.GCK72_016759						
N7.HOG0000772	OG0000032	n166			CBRI.L5515_014798	CELE.CELE_F58A6.4	CINO.Sp34_20096200	CNIO.Cni-nas-29	CREM.GCK72_005960						
N7.HOG0000773	OG0000032	n179			CBRI.L5515_013913	CELE.CELE_R10H1.5	CINO.Sp34_20254100	CNIO.Cni-nas-23	CREM.GCK72_006524						
N7.HOG0000774	OG0000032	n193			CBRI.L5515_003396	CELE.CELE_F42A10.8	CINO.Sp34_30150300	CNIO.Cni-nas-28	CREM.GCK72_010789						
N7.HOG0000775	OG0000032	n207			CBRI.L5515_015900	CELE.CELE_T23F4.4	CINO.Sp34_20013910	CNIO.Cni-nas-27	CREM.GCK72_008059						
N7.HOG0000776	OG0000034	n15			CBRI.L5515_010218	CELE.CELE_Y41E3.2	CINO.Sp34_40278800	CNIO.Cni-dpy-4	CREM.GCK72_012757						
N7.HOG0000777	OG0000034	n45					CINO.Sp34_40051800, CINO.Sp34_40051900, CINO.Sp34_40053400								
N7.HOG0000778	OG0000034	n48				CELE.CELE_C53B4.5			CREM.GCK72_013371						
N7.HOG0000779	OG0000034	n49			CBRI.L5515_010655, CBRI.L5515_011628	CELE.CELE_C24F3.6		CNIO.Cnig_chr_IV.g13077, CNIO.Cnig_chr_IV.g14303	CREM.GCK72_014355						
N7.HOG0000780	OG0000034	n54			CBRI.L5515_010751	CELE.CELE_T05A1.2	CINO.Sp34_40341500	CNIO.Cni-col-122	CREM.GCK72_013466						
N7.HOG0000781	OG0000034	n59			CBRI.L5515_012551	CELE.CELE_F30B5.1	CINO.Sp34_40048810	CNIO.Cni-dpy-13	CREM.GCK72_015845						
N7.HOG0000782	OG0000034	n66			CBRI.L5515_004450	CELE.CELE_F58F6.2	CINO.Sp34_40009100	CNIO.Cnig_chr_III.g10433	CREM.GCK72_015542, CREM.GCK72_015548						
N7.HOG0000783	OG0000034	n73					CINO.Sp34_30106110								
N7.HOG0000784	OG0000034	n79			CBRI.L5515_012552	CELE.CELE_F36A4.10	CINO.Sp34_40048700	CNIO.Cnig_chr_IV.g15752							
N7.HOG0000785	OG0000034	n94			CBRI.L5515_012555	CELE.CELE_F36A4.6	CINO.Sp34_40046420	CNIO.Cnig_chr_IV.g15760	CREM.GCK72_015838						
N7.HOG0000786	OG0000034	n123			CBRI.L5515_003168	CELE.CELE_F14F7.1	CINO.Sp34_30295400	CNIO.Cni-col-98							
N7.HOG0000787	OG0000034	n129				CELE.CELE_W05B2.1, CELE.CELE_W05B2.5, CELE.CELE_W05B2.6			CREM.GCK72_010355, CREM.GCK72_010356						
N7.HOG0000788	OG0000034	n133				CELE.CELE_F52B11.4			CREM.GCK72_013682						
N7.HOG0000789	OG0000034	n134			CBRI.L5515_003829, CBRI.L5515_003830, CBRI.L5515_003831, CBRI.L5515_010975			CNIO.Cnig_chr_III.g9705, CNIO.Cnig_chr_III.g9706, CNIO.Cnig_chr_III.g9707, CNIO.Cnig_chr_IV.g13532							
N7.HOG0000790	OG0000034	n141					CINO.Sp34_30095000, CINO.Sp34_30105900, CINO.Sp34_30106120, CINO.Sp34_30111400								
N7.HOG0000791	OG0000034	n144			CBRI.L5515_011652	CELE.CELE_W01B6.7	CINO.Sp34_40255800	CNIO.Cni-col-2	CREM.GCK72_014389						
N7.HOG0000792	OG0000034	n156			CBRI.L5515_010979	CELE.CELE_Y73B6BL.34	CINO.Sp34_40165300	CNIO.Cnig_chr_IV.g13536	CREM.GCK72_013685						
N7.HOG0000793	OG0000034	n165			CBRI.L5515_007799, CBRI.L5515_007823, CBRI.L5515_007825	CELE.CELE_F55C10.2, CELE.CELE_F55C10.3, CELE.CELE_T11F9.9	CINO.Sp34_50321700, CINO.Sp34_50324500	CNIO.Cnig_chr_V.g19157, CNIO.Cnig_chr_V.g19183, CNIO.Cnig_chr_V.g19185							
N7.HOG0000794	OG0000034	n174			CBRI.L5515_011346	CELE.CELE_C29F4.1	CINO.Sp34_40316300	CNIO.Cnig_chr_IV.g13969	CREM.GCK72_014080						
N7.HOG0000795	OG0000034	n178			CBRI.L5515_012492	CELE.CELE_T28C6.4, CELE.CELE_T28C6.6, CELE.CELE_Y41D4A.2	CINO.Sp34_40017610, CINO.Sp34_40017800, CINO.Sp34_40018100, CINO.Sp34_40055900	CNIO.Cnig_chr_IV.g15636	CREM.GCK72_003854, CREM.GCK72_015984, CREM.GCK72_016162						
N7.HOG0000796	OG0000035	n4			CBRI.L5515_018486	CELE.CELE_T18D3.2	CINO.Sp34_X0224410	CNIO.Cni-odr-7	CREM.GCK72_024986						
N7.HOG0000797	OG0000035	n15			CBRI.L5515_011471	CELE.CELE_C29E6.5	CINO.Sp34_40232600	CNIO.Cni-nhr-43	CREM.GCK72_014195						
N7.HOG0000798	OG0000035	n45			CBRI.L5515_012334	CELE.CELE_C05G6.1	CINO.Sp34_40063600	CNIO.Cni-nhr-76, CNIO.Cnig_chr_V.g17371	CREM.GCK72_015113						
N7.HOG0000799	OG0000035	n59			CBRI.L5515_016939	CELE.CELE_ZK455.6	CINO.Sp34_X0087000	CNIO.Cni-nhr-33	CREM.GCK72_023772						
N7.HOG0000800	OG0000035	n89			CBRI.L5515_009101	CELE.CELE_K06B4.10, CELE.CELE_K06B4.11	CINO.Sp34_50327200	CNIO.Cni-nhr-53	CREM.GCK72_020439						
N7.HOG0000801	OG0000035	n97			CBRI.L5515_008487	CELE.CELE_C33G8.6	CINO.Sp34_50224400	CNIO.Cnig_chr_V.g19968, CNIO.Cnig_chr_V.g19969	CREM.GCK72_018033						
N7.HOG0000802	OG0000035	n104				CELE.CELE_F14H3.11, CELE.CELE_F35E8.12		CNIO.Cnig_chr_V.g21014, CNIO.Cnig_chr_V.g21421	CREM.GCK72_019902, CREM.GCK72_019905						
N7.HOG0000803	OG0000035	n110			CBRI.L5515_006438, CBRI.L5515_006670	CELE.CELE_Y46H3D.6	CINO.Sp34_50034510, CINO.Sp34_50041800	CNIO.Cnig_chr_V.g17368, CNIO.Cnig_chr_V.g17370, CNIO.Cnig_chr_V.g17717	CREM.GCK72_019938						
N7.HOG0000804	OG0000035	n118			CBRI.L5515_006743		CINO.Sp34_50042100	CNIO.Cnig_chr_V.g17813							
N7.HOG0000805	OG0000035	n120			CBRI.L5515_006439	CELE.CELE_Y46H3D.7		CNIO.Cnig_chr_V.g17372							
N7.HOG0000806	OG0000035	n123			CBRI.L5515_008504	CELE.CELE_VC5.5	CINO.Sp34_50228710	CNIO.Cni-nhr-135	CREM.GCK72_018052						
N7.HOG0000807	OG0000035	n127			CBRI.L5515_008503	CELE.CELE_VC5.6	CINO.Sp34_50228800	CNIO.Cni-nhr-286	CREM.GCK72_018051						
N7.HOG0000808	OG0000035	n131			CBRI.L5515_006575	CELE.CELE_T05B4.2	CINO.Sp34_20162000, CINO.Sp34_50028500	CNIO.Cnig_chr_V.g17549, CNIO.Cnig_chr_V.g17550	CREM.GCK72_020177						
N7.HOG0000809	OG0000035	n140			CBRI.L5515_007460	CELE.CELE_R04B5.4	CINO.Sp34_50181600	CNIO.Cni-nhr-12	CREM.GCK72_018425						
N7.HOG0000810	OG0000035	n144			CBRI.L5515_007458	CELE.CELE_R04B5.3		CNIO.Cni-nhr-205	CREM.GCK72_018426						
N7.HOG0000811	OG0000035	n148			CBRI.L5515_006618, CBRI.L5515_013253, CBRI.L5515_013254	CELE.CELE_T12C9.1, CELE.CELE_T12C9.5, CELE.CELE_T12C9.6	CINO.Sp34_20232110	CNIO.Cnig_chr_II.g4450, CNIO.Cnig_chr_II.g4451, CNIO.Cnig_chr_II.g4454, CNIO.Cnig_chr_II.g4457, CNIO.Cnig_chr_V.g17631, CNIO.Cnig_chr_V.g17634	CREM.GCK72_004513, CREM.GCK72_004519, CREM.GCK72_004520, CREM.GCK72_004521, CREM.GCK72_004522, CREM.GCK72_004523, CREM.GCK72_004524, CREM.GCK72_004525, CREM.GCK72_004526, CREM.GCK72_004527, CREM.GCK72_004528						
N7.HOG0000812	OG0000035	n171			CBRI.L5515_006924	CELE.CELE_Y40B10A.8	CINO.Sp34_50092500	CNIO.Cnig_chr_V.g18048, CNIO.Cnig_chr_V.g18049	CREM.GCK72_019222						
N7.HOG0000813	OG0000035	n180			CBRI.L5515_012841	CELE.CELE_Y41D4B.27		CNIO.Cni-nhr-146	CREM.GCK72_016186						
N7.HOG0000814	OG0000035	n184						CNIO.Cnig_chr_IV.g15214	CREM.GCK72_016184						
N7.HOG0000815	OG0000035	n186			CBRI.L5515_010470	CELE.CELE_R11E3.5		CNIO.Cni-nhr-104	CREM.GCK72_013173, CREM.GCK72_013174						
N7.HOG0000816	OG0000035	n190			CBRI.L5515_012843	CELE.CELE_Y41D4B.7, CELE.CELE_Y41D4B.9		CNIO.Cnig_chr_IV.g16197	CREM.GCK72_016183						
N7.HOG0000817	OG0000035	n194			CBRI.L5515_012842	CELE.CELE_Y41D4B.8		CNIO.Cni-nhr-287, CNIO.Cni-nhr-92	CREM.GCK72_016185						
N7.HOG0000818	OG0000035	n198			CBRI.L5515_009782	CELE.CELE_Y51A2D.17	CINO.Sp34_50385800	CNIO.Cni-nhr-70	CREM.GCK72_022047						
N7.HOG0000819	OG0000035	n202			CBRI.L5515_016231	CELE.CELE_C11G6.4	CINO.Sp34_X0042000	CNIO.Cni-nhr-28	CREM.GCK72_023172						
N7.HOG0000820	OG0000036	n3				CELE.CELE_D1054.6, CELE.CELE_F49H6.16, CELE.CELE_Y102A5C.43									
