HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N11.HOG0004814	OG0000906	n20			CBRI.L5515_010249			CNIO.Cni-Y57G11C.23							
N11.HOG0004815	OG0000906	n24			CBRI.L5515_010600			CNIO.Cni-C46C2.2							
N11.HOG0004816	OG0000907	n2			CBRI.L5515_012178, CBRI.L5515_012180, CBRI.L5515_012181			CNIO.Cni-R102.8							
N11.HOG0004817	OG0000907	n8			CBRI.L5515_012183			CNIO.Cnig_chr_IV.g15020							
N11.HOG0004818	OG0000907	n14						CNIO.Cnig_chr_I.g1441							
N11.HOG0004819	OG0000907	n20			CBRI.L5515_019575			CNIO.Cnig_chr_X.g26540							
N11.HOG0004820	OG0000907	n21			CBRI.L5515_010609			CNIO.Cnig_chr_IV.g13012							
N11.HOG0004821	OG0000907	n22			CBRI.L5515_000968			CNIO.Cnig_chr_I.g1442							
N11.HOG0004822	OG0000907	n27			CBRI.L5515_012197			CNIO.Cnig_chr_IV.g15037							
N11.HOG0004823	OG0000908	n3			CBRI.L5515_018080			CNIO.Cni-clec-266							
N11.HOG0004824	OG0000908	n8			CBRI.L5515_001585			CNIO.Cnig_chr_I.g2113							
N11.HOG0004825	OG0000908	n12			CBRI.L5515_011597			CNIO.Cnig_chr_IV.g14260							
N11.HOG0004826	OG0000909	n1			CBRI.L5515_012783			CNIO.Cnig_chr_IV.g16115							
N11.HOG0004827	OG0000909	n7			CBRI.L5515_012711			CNIO.Cnig_chr_IV.g15987							
N11.HOG0004828	OG0000910	n1			CBRI.L5515_002220			CNIO.Cnig_chr_I.g3016, CNIO.Cnig_chr_I.g3021							
N11.HOG0004829	OG0000910	n12			CBRI.L5515_002216			CNIO.Cnig_chr_I.g3013, CNIO.Cnig_chr_I.g3017							
N11.HOG0004830	OG0000910	n15						CNIO.Cnig_chr_I.g3012							
N11.HOG0004831	OG0000910	n21						CNIO.Cnig_chr_I.g2999, CNIO.Cnig_chr_I.g3010							
N11.HOG0004832	OG0000910	n25			CBRI.L5515_002172			CNIO.Cnig_chr_I.g2954							
N11.HOG0004833	OG0000910	n26			CBRI.L5515_002170, CBRI.L5515_002217, CBRI.L5515_002218			CNIO.Cnig_chr_I.g2952							
N11.HOG0004834	OG0000911	n22			CBRI.L5515_017973			CNIO.Cni-C15H9.3							
N11.HOG0004835	OG0000918	n18			CBRI.L5515_012198			CNIO.Cnig_chr_IV.g12150, CNIO.Cnig_chr_IV.g15038							
N11.HOG0004836	OG0000918	n23			CBRI.L5515_007629			CNIO.Cnig_chr_V.g18922							
N11.HOG0004837	OG0000919	n14			CBRI.L5515_000868			CNIO.Cnig_chr_I.g1325							
N11.HOG0004838	OG0000919	n21			CBRI.L5515_004246			CNIO.nigoni.pc_2016.07.11_023.g28446							
N11.HOG0004839	OG0000919	n25						CNIO.Cnig_chr_III.g9249							
N11.HOG0004840	OG0000920	n9			CBRI.L5515_001807			CNIO.Cnig_chr_I.g2395							
N11.HOG0004841	OG0000920	n14			CBRI.L5515_012920			CNIO.Cni-T21G5.1							
N11.HOG0004842	OG0000920	n18						CNIO.Cnig_chr_I.g1710							
N11.HOG0004843	OG0000921	n3						CNIO.Cni-Y50D7A.13							
N11.HOG0004844	OG0000921	n10			CBRI.L5515_005639			CNIO.Cni-zmp-6							
N11.HOG0004845	OG0000921	n18			CBRI.L5515_011611			CNIO.Cni-T23E1.1, CNIO.Cnig_chr_III.g9753, CNIO.Cnig_chr_X.g22626, CNIO.Cnig_chr_X.g22646, CNIO.nigoni.pc_2016.07.11_013.g27826							
N11.HOG0004846	OG0000922	n0			CBRI.L5515_006239			CNIO.Cni-T08H10.1							
N11.HOG0004847	OG0000923	n8			CBRI.L5515_014294			CNIO.Cni-sqt-1							
N11.HOG0004848	OG0000923	n19			CBRI.L5515_011698			CNIO.Cni-col-123							
N11.HOG0004849	OG0000923	n23			CBRI.L5515_014457			CNIO.Cni-col-84							
N11.HOG0004850	OG0000924	n5			CBRI.L5515_013359			CNIO.Cni-glna-2							
N11.HOG0004851	OG0000924	n16			CBRI.L5515_013648			CNIO.Cni-glna-1							
N11.HOG0004852	OG0000924	n22			CBRI.L5515_001088			CNIO.Cni-glna-3							
N11.HOG0004853	OG0000925	n3			CBRI.L5515_012680			CNIO.Cni-gcy-37							
N11.HOG0004854	OG0000925	n21			CBRI.L5515_002334			CNIO.nigoni.pc_2016.07.11_008.g27239							
N11.HOG0004855	OG0000925	n24			CBRI.L5515_002332			CNIO.Cni-gcy-35							
N11.HOG0004856	OG0000926	n6			CBRI.L5515_015066										
N11.HOG0004857	OG0000926	n8			CBRI.L5515_015068			CNIO.Cni-tpi-1							
N11.HOG0004858	OG0000926	n13			CBRI.L5515_015067			CNIO.Cni-cyn-16							
N11.HOG0004859	OG0000927	n6			CBRI.L5515_011360			CNIO.Cnig_chr_IV.g13984							
N11.HOG0004860	OG0000927	n12			CBRI.L5515_012139			CNIO.Cnig_chr_IV.g14967							
N11.HOG0004861	OG0000928	n12			CBRI.L5515_017472			CNIO.Cnig_chr_X.g23832							
N11.HOG0004862	OG0000928	n13			CBRI.L5515_017471			CNIO.Cnig_chr_X.g23831							
N11.HOG0004863	OG0000928	n17			CBRI.L5515_017473			CNIO.Cnig_chr_X.g23833							
N11.HOG0004864	OG0000928	n18			CBRI.L5515_017474			CNIO.Cnig_chr_X.g23835							
N11.HOG0004865	OG0000929	n11			CBRI.L5515_003515			CNIO.Cnig_chr_III.g9300, CNIO.Cnig_chr_III.g9327							
N11.HOG0004866	OG0000929	n18			CBRI.L5515_000769, CBRI.L5515_001361			CNIO.Cni-Y106G6D.4							
N11.HOG0004867	OG0000930	n16			CBRI.L5515_005387			CNIO.Cnig_chr_III.g11614							
N11.HOG0004868	OG0000930	n21			CBRI.L5515_000969			CNIO.Cnig_chr_I.g1443							
N11.HOG0004869	OG0000931	n3			CBRI.L5515_014879			CNIO.Cni-F26G1.5							
N11.HOG0004870	OG0000931	n18			CBRI.L5515_014500			CNIO.Cni-F18C5.9							
N11.HOG0004871	OG0000932	n9			CBRI.L5515_003530			CNIO.Cni-C28H8.5							
N11.HOG0004872	OG0000932	n20			CBRI.L5515_007553			CNIO.Cni-T28H10.2							
N11.HOG0004873	OG0000932	n24			CBRI.L5515_013796			CNIO.Cni-C15F1.1							
N11.HOG0004874	OG0000933	n9			CBRI.L5515_018251			CNIO.Cnig_chr_X.g24785							
N11.HOG0004875	OG0000933	n16			CBRI.L5515_014160			CNIO.Cnig_chr_II.g5680							
N11.HOG0004876	OG0000933	n20						CNIO.Cnig_chr_X.g24681							
N11.HOG0004877	OG0000934	n6			CBRI.L5515_004909			CNIO.Cni-trxr-2							
N11.HOG0004878	OG0000934	n23			CBRI.L5515_004910			CNIO.nigoni.pc_2016.07.11_010.g27464, CNIO.nigoni.pc_2016.07.11_010.g27465							
N11.HOG0004879	OG0000935	n5			CBRI.L5515_001496			CNIO.Cni-ears-1							
N11.HOG0004880	OG0000935	n18			CBRI.L5515_005636			CNIO.Cni-pars-1							
N11.HOG0004881	OG0000936	n11			CBRI.L5515_009349			CNIO.Cni-phy-3							
N11.HOG0004882	OG0000936	n15						CNIO.Cni-Y43F8B.19							
N11.HOG0004883	OG0000936	n18			CBRI.L5515_009938			CNIO.Cni-phy-4							
N11.HOG0004884	OG0000937	n3			CBRI.L5515_011479			CNIO.Cni-ZK822.5							
N11.HOG0004885	OG0000937	n19			CBRI.L5515_016787			CNIO.Cni-F52H2.4, CNIO.Cnig_chr_X.g23033							
N11.HOG0004886	OG0000938	n14			CBRI.L5515_004436			CNIO.Cni-unc-36							
N11.HOG0004887	OG0000938	n19			CBRI.L5515_013203			CNIO.Cni-mth-1							
N11.HOG0004888	OG0000938	n23			CBRI.L5515_013202										
N11.HOG0004889	OG0000939	n0			CBRI.L5515_016790			CNIO.Cni-syg-1							
N11.HOG0004890	OG0000940	n0			CBRI.L5515_012094			CNIO.Cni-gkow-1							
N11.HOG0004891	OG0000941	n9			CBRI.L5515_007660			CNIO.Cnig_chr_V.g17676, CNIO.Cnig_chr_V.g18961							
N11.HOG0004892	OG0000941	n15			CBRI.L5515_007659			CNIO.Cni-C27A7.3							
N11.HOG0004893	OG0000942	n0			CBRI.L5515_011324			CNIO.Cni-rps-5							
N11.HOG0004894	OG0000943	n6			CBRI.L5515_017599			CNIO.Cni-R02E12.4							
N11.HOG0004895	OG0000943	n16			CBRI.L5515_006275			CNIO.Cni-F32D1.5							
N11.HOG0004896	OG0000944	n21						CNIO.Cni-hke-4.2							
N11.HOG0004897	OG0000944	n22						CNIO.Cni-hke-4.1							
N11.HOG0004898	OG0000945	n10			CBRI.L5515_003909			CNIO.Cnig_chr_III.g9820							
N11.HOG0004899	OG0000945	n24			CBRI.L5515_000771			CNIO.Cnig_chr_I.g1217							
N11.HOG0004900	OG0000946	n10			CBRI.L5515_006329			CNIO.Cnig_chr_V.g17192, CNIO.Cnig_chr_V.g17194							
N11.HOG0004901	OG0000946	n14						CNIO.Cnig_chr_IV.g14650							
N11.HOG0004902	OG0000946	n18			CBRI.L5515_011891			CNIO.Cni-msh-5							
N11.HOG0004903	OG0000947	n15			CBRI.L5515_007425			CNIO.Cnig_chr_V.g18684							
N11.HOG0004904	OG0000947	n18			CBRI.L5515_005736			CNIO.Cnig_chr_V.g16386							
N11.HOG0004905	OG0000947	n24			CBRI.L5515_008395			CNIO.Cni-cpt-6							
N11.HOG0004906	OG0000948	n8			CBRI.L5515_005767, CBRI.L5515_019410, CBRI.L5515_019412			CNIO.Cnig_chr_V.g16424							
N11.HOG0004907	OG0000948	n13			CBRI.L5515_007424			CNIO.Cnig_chr_V.g18683							
N11.HOG0004908	OG0000949	n4			CBRI.L5515_008128			CNIO.Cni-C51E3.9							
N11.HOG0004909	OG0000949	n14			CBRI.L5515_007919			CNIO.Cni-F53B7.7							
N11.HOG0004910	OG0000949	n21			CBRI.L5515_009896			CNIO.Cni-F53F8.7							
N11.HOG0004911	OG0000950	n9			CBRI.L5515_006361			CNIO.Cni-F19F10.9							
N11.HOG0004912	OG0000950	n16			CBRI.L5515_006367, CBRI.L5515_006368			CNIO.Cnig_chr_V.g17246							
N11.HOG0004913	OG0000950	n19			CBRI.L5515_019017										
N11.HOG0004914	OG0000950	n23			CBRI.L5515_008882			CNIO.Cnig_chr_V.g20454							
N11.HOG0004915	OG0000950	n24			CBRI.L5515_006318			CNIO.Cnig_chr_V.g17178, CNIO.Cnig_chr_V.g17247, CNIO.Cnig_chr_X.g25971							
N11.HOG0004916	OG0000951	n3			CBRI.L5515_002988			CNIO.Cni-Y39A3CL.4							
N11.HOG0004917	OG0000951	n14			CBRI.L5515_003728			CNIO.Cnig_chr_III.g9583, CNIO.Cnig_chr_III.g9586, CNIO.Cnig_chr_III.g9587							
N11.HOG0004918	OG0000952	n10			CBRI.L5515_001167, CBRI.L5515_001948			CNIO.Cnig_chr_I.g1675							
N11.HOG0004919	OG0000952	n15			CBRI.L5515_000089			CNIO.Cnig_chr_I.g244							
N11.HOG0004920	OG0000952	n20			CBRI.L5515_005634			CNIO.Cni-adr-2							
N11.HOG0004921	OG0000953	n4			CBRI.L5515_013911			CNIO.Cni-spi-1, CNIO.Cnig_chr_II.g6478, CNIO.Cnig_chr_II.g6479							
N11.HOG0004922	OG0000953	n10			CBRI.L5515_013912			CNIO.Cni-R10H1.1							
N11.HOG0004923	OG0000954	n12						CNIO.Cnig_chr_III.g9191, CNIO.nigoni.pc_2016.07.11_023.g28460							
N11.HOG0004924	OG0000954	n15						CNIO.Cni-fsn-1							
N11.HOG0004925	OG0000954	n18			CBRI.L5515_004236			CNIO.Cnig_chr_III.g10195, CNIO.Cnig_chr_III.g10196, CNIO.nigoni.pc_2016.07.11_023.g28458, CNIO.nigoni.pc_2016.07.11_023.g28459							
N11.HOG0004926	OG0000955	n0			CBRI.L5515_003786			CNIO.Cni-ZK418.2							
N11.HOG0004927	OG0000956	n0			CBRI.L5515_003713			CNIO.Cni-C38H2.2							
N11.HOG0004928	OG0000957	n2			CBRI.L5515_014982			CNIO.Cni-nep-17							
N11.HOG0004929	OG0000958	n9			CBRI.L5515_015899			CNIO.Cni-dlhd-1							
N11.HOG0004930	OG0000958	n18			CBRI.L5515_013899			CNIO.Cnig_chr_II.g5352							
N11.HOG0004931	OG0000958	n23			CBRI.L5515_013900			CNIO.Cnig_chr_II.g5353							
N11.HOG0004932	OG0000959	n4			CBRI.L5515_005836			CNIO.Cnig_chr_V.g16547							
N11.HOG0004933	OG0000959	n5			CBRI.L5515_005813			CNIO.Cnig_chr_V.g16505							
N11.HOG0004934	OG0000959	n12			CBRI.L5515_005838			CNIO.Cnig_chr_V.g16551, CNIO.Cnig_chr_V.g18421							
N11.HOG0004935	OG0000959	n15			CBRI.L5515_005835			CNIO.Cnig_chr_V.g16546							
N11.HOG0004936	OG0000959	n18			CBRI.L5515_005834			CNIO.Cnig_chr_V.g16533							
N11.HOG0004937	OG0000960	n1			CBRI.L5515_006030			CNIO.Cni-B0507.3							
N11.HOG0004938	OG0000960	n7			CBRI.L5515_006031			CNIO.Cnig_chr_V.g16817, CNIO.Cnig_chr_V.g16832							
N11.HOG0004939	OG0000960	n11						CNIO.Cnig_chr_V.g16830							
N11.HOG0004940	OG0000960	n13			CBRI.L5515_006045, CBRI.L5515_006046			CNIO.Cnig_chr_V.g16835							
N11.HOG0004941	OG0000960	n17			CBRI.L5515_006044			CNIO.Cnig_chr_V.g16834							
N11.HOG0004942	OG0000960	n19			CBRI.L5515_006042, CBRI.L5515_006043			CNIO.Cnig_chr_V.g16833							
N11.HOG0004943	OG0000961	n1			CBRI.L5515_006981			CNIO.Cnig_chr_V.g18125							
N11.HOG0004944	OG0000961	n5			CBRI.L5515_006983			CNIO.Cnig_chr_V.g18128							
N11.HOG0004945	OG0000961	n7			CBRI.L5515_006772			CNIO.Cnig_chr_V.g17851, CNIO.Cnig_chr_V.g17852							
N11.HOG0004946	OG0000961	n21			CBRI.L5515_006773			CNIO.Cnig_chr_V.g17853							
N11.HOG0004947	OG0000961	n22			CBRI.L5515_006774			CNIO.Cnig_chr_V.g17854							
N11.HOG0004948	OG0000961	n23			CBRI.L5515_006499			CNIO.Cnig_chr_V.g17421, CNIO.Cnig_chr_V.g17425							
N11.HOG0004949	OG0000961	n25			CBRI.L5515_006498			CNIO.Cnig_chr_V.g17420							
N11.HOG0004950	OG0000962	n7			CBRI.L5515_006779, CBRI.L5515_006780			CNIO.Cnig_chr_V.g17862							
N11.HOG0004951	OG0000962	n11			CBRI.L5515_006790			CNIO.Cnig_chr_IV.g12572, CNIO.Cnig_chr_V.g17871							
N11.HOG0004952	OG0000962	n16			CBRI.L5515_006791			CNIO.Cnig_chr_V.g17872							
N11.HOG0004953	OG0000962	n18			CBRI.L5515_006788			CNIO.Cnig_chr_V.g17870							
N11.HOG0004954	OG0000962	n19			CBRI.L5515_006786, CBRI.L5515_007641			CNIO.Cnig_chr_V.g17868							
N11.HOG0004955	OG0000963	n4			CBRI.L5515_002375			CNIO.Cnig_chr_I.g3169							
N11.HOG0004956	OG0000963	n5			CBRI.L5515_007053			CNIO.Cnig_chr_V.g18216							
N11.HOG0004957	OG0000964	n3			CBRI.L5515_007570			CNIO.Cnig_chr_V.g18861							
N11.HOG0004958	OG0000964	n10						CNIO.Cnig_chr_V.g21665							
N11.HOG0004959	OG0000964	n11						CNIO.Cnig_chr_V.g18855							
N11.HOG0004960	OG0000965	n0			CBRI.L5515_009206			CNIO.Cnig_chr_V.g20905, CNIO.nigoni.pc_2016.07.11_013.g27770							
N11.HOG0004961	OG0000966	n1			CBRI.L5515_011446			CNIO.Cnig_chr_IV.g14075							
N11.HOG0004962	OG0000966	n7			CBRI.L5515_010202										
N11.HOG0004963	OG0000966	n13			CBRI.L5515_011445										
N11.HOG0004964	OG0000966	n21			CBRI.L5515_010725			CNIO.Cnig_chr_IV.g13179							
N11.HOG0004965	OG0000966	n24			CBRI.L5515_011447, CBRI.L5515_011448			CNIO.Cnig_chr_IV.g14076							
N11.HOG0004966	OG0000967	n1			CBRI.L5515_011964			CNIO.Cnig_chr_IV.g14734							
N11.HOG0004967	OG0000967	n18			CBRI.L5515_010277			CNIO.Cnig_chr_IV.g12424							
N11.HOG0004968	OG0000968	n1			CBRI.L5515_003010			CNIO.Cnig_chr_III.g8466, CNIO.Cnig_chr_III.g8467							
N11.HOG0004969	OG0000968	n16			CBRI.L5515_003173			CNIO.Cnig_chr_III.g8615							
N11.HOG0004970	OG0000968	n17			CBRI.L5515_003167			CNIO.Cnig_chr_III.g8620, CNIO.Cnig_chr_III.g8621, CNIO.Cnig_chr_III.g8622, CNIO.Cnig_chr_III.g8623, CNIO.Cnig_chr_III.g8624, CNIO.Cnig_chr_III.g8625							
N11.HOG0004971	OG0000968	n23			CBRI.L5515_003011			CNIO.Cnig_chr_III.g8468, CNIO.Cnig_chr_X.g23699							
N11.HOG0004972	OG0000969	n1			CBRI.L5515_004758			CNIO.Cni-ckb-4							
N11.HOG0004973	OG0000969	n9			CBRI.L5515_004091			CNIO.Cnig_chr_III.g10040							
N11.HOG0004974	OG0000969	n10			CBRI.L5515_004092			CNIO.Cnig_chr_III.g10041, CNIO.Cnig_chr_III.g10043, CNIO.Cnig_chr_III.g10044							
N11.HOG0004975	OG0000969	n16			CBRI.L5515_004087			CNIO.Cnig_chr_III.g10036, CNIO.Cnig_chr_III.g10038							
N11.HOG0004976	OG0000969	n19			CBRI.L5515_004089			CNIO.Cnig_chr_III.g10039							
N11.HOG0004977	OG0000969	n22			CBRI.L5515_004093			CNIO.Cnig_chr_III.g10045							
N11.HOG0004978	OG0000969	n26			CBRI.L5515_004760			CNIO.Cnig_chr_III.g10807, CNIO.Cnig_chr_III.g10808							
N11.HOG0004979	OG0000970	n0			CBRI.L5515_004641			CNIO.Cnig_chr_III.g10667							
N11.HOG0004980	OG0000971	n1			CBRI.L5515_005051, CBRI.L5515_005054										
N11.HOG0004981	OG0000971	n3						CNIO.Cnig_chr_III.g11065							
N11.HOG0004982	OG0000971	n23						CNIO.nigoni.pc_2016.07.11_024.g28487							
N11.HOG0004983	OG0000972	n2			CBRI.L5515_017628			CNIO.Cnig_chr_V.g17674, CNIO.Cnig_chr_X.g24033							
N11.HOG0004984	OG0000972	n4			CBRI.L5515_017630			CNIO.Cnig_chr_X.g24035							
N11.HOG0004985	OG0000980	n1			CBRI.L5515_005223			CNIO.Cni-ttr-32							
N11.HOG0004986	OG0000980	n10			CBRI.L5515_002918			CNIO.Cni-ttr-7							
N11.HOG0004987	OG0000980	n16			CBRI.L5515_005224			CNIO.Cni-ttr-8							
N11.HOG0004988	OG0000981	n9			CBRI.L5515_015955			CNIO.Cni-best-4							
N11.HOG0004989	OG0000981	n13			CBRI.L5515_015954			CNIO.Cni-best-3							
N11.HOG0004990	OG0000982	n5			CBRI.L5515_014186			CNIO.Cni-lact-3							
N11.HOG0004991	OG0000982	n17			CBRI.L5515_013494			CNIO.Cni-lact-4							
N11.HOG0004992	OG0000983	n0			CBRI.L5515_004867			CNIO.Cni-cya-1							
N11.HOG0004993	OG0000984	n6			CBRI.L5515_008265			CNIO.Cnig_chr_I.g137							
N11.HOG0004994	OG0000984	n16			CBRI.L5515_014256			CNIO.Cnig_chr_II.g5806							
N11.HOG0004995	OG0000985	n3			CBRI.L5515_010024			CNIO.Cni-C30H6.8							
N11.HOG0004996	OG0000985	n19			CBRI.L5515_013231			CNIO.Cnig_chr_II.g4397							
N11.HOG0004997	OG0000985	n23			CBRI.L5515_013088			CNIO.Cnig_chr_II.g4166							
N11.HOG0004998	OG0000986	n15			CBRI.L5515_010552			CNIO.Cnig_chr_IV.g12940							
N11.HOG0004999	OG0000986	n16			CBRI.L5515_010553			CNIO.Cnig_chr_IV.g12942							
N11.HOG0005000	OG0000986	n17			CBRI.L5515_008290			CNIO.Cni-nstp-3							
N11.HOG0005001	OG0000987	n5						CNIO.Cni-dmsr-5							
N11.HOG0005002	OG0000987	n17			CBRI.L5515_005589, CBRI.L5515_016665			CNIO.Cnig_chr_X.g22949							
N11.HOG0005003	OG0000988	n4			CBRI.L5515_018277			CNIO.Cni-PDB1.1							
N11.HOG0005004	OG0000988	n17			CBRI.L5515_006154			CNIO.Cni-R02F11.3							
N11.HOG0005005	OG0000988	n21			CBRI.L5515_005613			CNIO.Cni-F56C9.3							
N11.HOG0005006	OG0000989	n2						CNIO.Cni-C35D10.8							
N11.HOG0005007	OG0000989	n17			CBRI.L5515_012268			CNIO.Cni-Y37E11AL.2							
N11.HOG0005008	OG0000990	n7			CBRI.L5515_004294			CNIO.Cnig_chr_III.g10221, CNIO.Cnig_chr_III.g10227							
N11.HOG0005009	OG0000990	n15			CBRI.L5515_004293			CNIO.Cni-pcf-11							
N11.HOG0005010	OG0000990	n19			CBRI.L5515_019287			CNIO.Cnig_chr_X.g26125							
N11.HOG0005011	OG0000991	n19			CBRI.L5515_003505			CNIO.Cni-R12B2.3							
N11.HOG0005012	OG0000991	n22			CBRI.L5515_001362			CNIO.Cni-W02A2.8							
N11.HOG0005013	OG0000992	n16			CBRI.L5515_008515			CNIO.Cni-pitr-5							
N11.HOG0005014	OG0000992	n20			CBRI.L5515_008617			CNIO.Cnig_chr_V.g20124							
N11.HOG0005015	OG0000993	n6			CBRI.L5515_015988			CNIO.Cnig_chr_II.g8288							
N11.HOG0005016	OG0000993	n13			CBRI.L5515_015217			CNIO.nigoni.pc_2016.07.11_020.g28286							
N11.HOG0005017	OG0000993	n18			CBRI.L5515_016007			CNIO.Cni-C50D2.2							
N11.HOG0005018	OG0000994	n10			CBRI.L5515_001759			CNIO.Cni-gon-2							
N11.HOG0005019	OG0000994	n17			CBRI.L5515_011352			CNIO.Cni-gtl-1							
N11.HOG0005020	OG0000995	n0			CBRI.L5515_011247			CNIO.Cnig_chr_IV.g13849							
N11.HOG0005021	OG0000996	n5			CBRI.L5515_012292			CNIO.Cni-vab-2							
N11.HOG0005022	OG0000996	n16			CBRI.L5515_011957			CNIO.Cni-efn-4							
N11.HOG0005023	OG0000996	n24			CBRI.L5515_019297			CNIO.Cni-efn-3							
N11.HOG0005024	OG0000997	n3			CBRI.L5515_007196			CNIO.Cni-hacd-1							
N11.HOG0005025	OG0000997	n11			CBRI.L5515_016421			CNIO.Cnig_chr_X.g22591							
N11.HOG0005026	OG0000997	n22			CBRI.L5515_004788			CNIO.Cnig_chr_III.g10840							
N11.HOG0005027	OG0000998	n5			CBRI.L5515_009591			CNIO.Cni-ucr-2.3, CNIO.nigoni.pc_2016.07.11_007.g26863							
N11.HOG0005028	OG0000998	n19						CNIO.Cnig_chr_X.g25856							
N11.HOG0005029	OG0000998	n20						CNIO.Cni-ucr-2.2							
N11.HOG0005030	OG0000998	n21			CBRI.L5515_010673			CNIO.Cni-C27B7.2							
N11.HOG0005031	OG0000999	n7			CBRI.L5515_014273			CNIO.Cni-T06D8.3							
N11.HOG0005032	OG0000999	n13			CBRI.L5515_014271			CNIO.Cni-F37H8.5							
N11.HOG0005033	OG0001000	n0			CBRI.L5515_014924			CNIO.Cni-men-1							
N11.HOG0005034	OG0001001	n5			CBRI.L5515_011017			CNIO.Cni-best-9							
N11.HOG0005035	OG0001001	n19			CBRI.L5515_011685			CNIO.Cni-best-13							
N11.HOG0005036	OG0001002	n7			CBRI.L5515_002751			CNIO.Cni-K05C4.5							
N11.HOG0005037	OG0001002	n14			CBRI.L5515_002834			CNIO.Cnig_chr_I.g3939							
N11.HOG0005038	OG0001002	n16			CBRI.L5515_002753			CNIO.Cni-K05C4.7							
N11.HOG0005039	OG0001003	n4			CBRI.L5515_012673			CNIO.Cni-smf-3							
N11.HOG0005040	OG0001003	n19			CBRI.L5515_018100			CNIO.Cnig_chr_X.g24593							
N11.HOG0005041	OG0001003	n23			CBRI.L5515_018099			CNIO.Cnig_chr_X.g24592							
N11.HOG0005042	OG0001004	n5			CBRI.L5515_014771			CNIO.Cnig_chr_II.g6410							
N11.HOG0005043	OG0001004	n15			CBRI.L5515_014770			CNIO.Cnig_chr_II.g6409							
N11.HOG0005044	OG0001004	n19						CNIO.Cni-exos-4.2							
N11.HOG0005045	OG0001005	n11			CBRI.L5515_014250			CNIO.Cni-F45E10.2							
N11.HOG0005046	OG0001005	n21			CBRI.L5515_003278			CNIO.Cni-Y82E9BR.16							
N11.HOG0005047	OG0001006	n11			CBRI.L5515_010753			CNIO.Cni-npr-2							
N11.HOG0005048	OG0001006	n19			CBRI.L5515_017752			CNIO.Cni-npr-1							
N11.HOG0005049	OG0001007	n11			CBRI.L5515_000136			CNIO.Cnig_chr_I.g346							
N11.HOG0005050	OG0001007	n13			CBRI.L5515_000162			CNIO.Cnig_chr_I.g380							
N11.HOG0005051	OG0001007	n17			CBRI.L5515_018283			CNIO.Cni-pcyt-1							
N11.HOG0005052	OG0001008	n8			CBRI.L5515_004292			CNIO.Cni-ZK418.9							
N11.HOG0005053	OG0001008	n13			CBRI.L5515_008100			CNIO.Cni-C12D8.1							
N11.HOG0005054	OG0001008	n17			CBRI.L5515_016580			CNIO.Cnig_chr_X.g22789							
N11.HOG0005055	OG0001009	n3			CBRI.L5515_005859			CNIO.Cni-K07C11.7							
N11.HOG0005056	OG0001009	n16			CBRI.L5515_008589			CNIO.Cni-C25E10.12							
N11.HOG0005057	OG0001010	n13			CBRI.L5515_008383			CNIO.Cnig_chr_V.g19840							
N11.HOG0005058	OG0001011	n15			CBRI.L5515_002040, CBRI.L5515_002042, CBRI.L5515_006313, CBRI.L5515_006314, CBRI.L5515_018523			CNIO.Cnig_chr_X.g25109							
N11.HOG0005059	OG0001011	n21			CBRI.L5515_007468			CNIO.Cnig_chr_V.g18737							
N11.HOG0005060	OG0001011	n22			CBRI.L5515_004519			CNIO.Cnig_chr_III.g10519							
N11.HOG0005061	OG0001011	n23			CBRI.L5515_013588			CNIO.Cni-mes-2							
N11.HOG0005062	OG0001012	n0			CBRI.L5515_006958			CNIO.Cnig_chr_V.g18094							
N11.HOG0005063	OG0001013	n5			CBRI.L5515_008079			CNIO.Cni-B0024.10							
N11.HOG0005064	OG0001013	n14			CBRI.L5515_008592			CNIO.Cni-oac-50							
N11.HOG0005065	OG0001013	n18			CBRI.L5515_001832			CNIO.Cnig_chr_I.g2425, CNIO.Cnig_chr_V.g20085							
N11.HOG0005066	OG0001014	n4			CBRI.L5515_008958			CNIO.Cni-dlat-1							
N11.HOG0005067	OG0001014	n18			CBRI.L5515_010025			CNIO.Cni-C30H6.7							
N11.HOG0005068	OG0001015	n3			CBRI.L5515_009577			CNIO.Cni-glb-14							
N11.HOG0005069	OG0001015	n16			CBRI.L5515_010296			CNIO.Cnig_chr_IV.g12461, CNIO.Cnig_chr_IV.g12462							
N11.HOG0005070	OG0001016	n13						CNIO.Cnig_chr_V.g17021, CNIO.Cnig_chr_V.g17024							
N11.HOG0005071	OG0001016	n24						CNIO.Cnig_chr_V.g17023							
N11.HOG0005072	OG0001017	n0			CBRI.L5515_018821, CBRI.L5515_018822			CNIO.Cni-D2021.4							
N11.HOG0005073	OG0001018	n19			CBRI.L5515_014777			CNIO.Cni-gur-5							
N11.HOG0005074	OG0001018	n22			CBRI.L5515_015044			CNIO.Cni-gur-4							
N11.HOG0005075	OG0001019	n18			CBRI.L5515_017196			CNIO.Cnig_chr_X.g23616							
N11.HOG0005076	OG0001019	n23			CBRI.L5515_017195										
N11.HOG0005077	OG0001020	n3						CNIO.Cnig_chr_IV.g12250, CNIO.Cnig_chr_IV.g12251, CNIO.Cnig_chr_IV.g12252							
N11.HOG0005078	OG0001020	n17			CBRI.L5515_005626			CNIO.Cni-svop-1							
